fullVisitorId,transactionId,lon,lat
10016099026049880039,s8ku-wzm9,-123.0397999,49.2749646
10016099026049880039,s1sh-er8x,-122.9925912,49.225892
10016824030623089117,s8wm-wda1,-79.4152374,43.6812032
10016994457546649405,s9ug-6726,-79.39040375,43.63988876
10017542287254026135,s1zq-wwka,-79.40995026,43.64941025
10018191898405161712,s1ip-rvko,-79.3427119,43.6649097
10018606494339000018,s2hj-0rqy,-79.641255,43.5871334
10018747829211849785,s8ay-t0yr,-79.3186419,43.694414
10019422608310781855,s5hm-j0rr,-71.2624695,46.7901768
10019422608310781855,s0tf-qptq,-71.2624695,46.7901768
10020165738479140144,s1ol-qqs0,-79.3758083,43.6655653
10020165738479140144,s7xx-f6u4,-79.3758083,43.6655653
10020587727252197559,s6jd-edcu,-73.578386,45.5384655
10020587727252197559,s7zt-2iyn,-73.578386,45.5384655
10020587727252197559,s4nn-eliv,-73.578386,45.5384655
10020714728516142521,s5ig-5zqq,-123.14466095,49.25926971
10020714728516142521,s2ky-ai5r,-123.14466095,49.25926971
10021187847284485170,s8dj-nwoi,-123.0974961,49.2613849
10021757758136604589,s9hp-9okb,-79.3835998,43.646254
10022092180701703760,s2ty-f9tg,-79.3870963,43.6655168
10022092180701703760,s2ty-bs4w,-79.3870963,43.6655168
10022704037329492378,s9rz-wali,-79.3992837,43.6808622
10023235785606908547,s1ra-bb2h,-79.3429962,43.6748688
10023696359453808136,s1zh-mvwa,-79.4254654,43.6392209
10023814999318444853,a8ca-d6yg,-73.5741694,45.5327365
1002490470885210215,s0vn-rk7h,-79.37963409999999,43.6640236
10026360465198510820,t3hs-uzsm,-79.3837318,43.6682283
1002643832514476421,n1am-nkor,-79.4159028,43.641579
10027303044631019485,x5gt-bekh,-79.3906811,43.6451952
10027699077200202298,s2kc-6fbb,-73.7211567,45.5447073
10027699077200202298,s4tg-r4vu,-73.7211567,45.5447073
10028167151397391409,s3au-gnfv,-73.5511043,45.5306318
10028648551524328190,p2he-apoq,-79.4147858,43.6383068
10029694924408436065,v9nc-ww2h,-79.4162396,43.6674414
1002996307011510396,s3bz-t1u4,-79.3605766,43.6602919
1002996307011510396,s7tz-m5zh,-79.3605766,43.6602919
10029989940147174612,s5pq-67ch,-79.3789807,43.6418064
10030212289229286160,s3pl-bkbd,-123.2055279,49.2636493
10030212289229286160,s3pl-0rh5,-123.2055279,49.2636493
10030212289229286160,s3pl-2l4r,-123.2055279,49.2636493
10031458902095227617,s5ky-qi7l,-123.12483978,49.28360367
10035123656269564959,s4sp-6su3,-79.3351909,43.6645365
10035123656269564959,s4sp-2b6r,-79.3351909,43.6645365
10035780099758261507,s2kb-8fs2,-73.6156872,45.507063300000013
10036203796823923095,s2ix-n4s4,-79.391508,43.6477598
10036203796823923095,n4up-5iz8,-79.391508,43.6477598
10036203796823923095,s9im-2pfm,-79.391508,43.6477598
10036962727126589880,s4hf-aav3,-79.383028,43.6655881
10037256417648801319,s8if-jvjp,-79.4148726,43.6639144
10037563440774514568,s7lf-ml59,-123.1318882,49.2636516
10037563440774514568,s2ds-nwol,-123.1271847,49.2816809
10038914875989320763,s4uk-gyxk,-123.1194676,49.2626787
10038914875989320763,s8tv-vh93,-123.0286789,49.2808432
10039022474623747372,s5ew-2wxg,-79.3936241,43.6457876
10039022474623747372,e8yi-v0sn,-79.3936241,43.6457876
10039424422791235498,s3wm-rhi9,-73.572231899999991,45.548106999999987
10039615405741925812,s8aa-wt49,-79.41590118,43.64157867
10039648719725059324,s8gg-1hn6,-73.6273338,45.4790727
10039648719725059324,s8gg-3dui,-73.6273338,45.4790727
10039857158498098212,s3vi-ya10,-73.562141,45.484051
10039857158498098212,t3gd-bl9v,-73.575833,45.5298392
10040295925914658414,s4xz-baoh,-71.25788,46.783313
10040574363983094312,w1dw-rjss,-79.3657259,43.6634243
10040657575168997399,v6tg-zyw9,-79.39733887,43.64038086
10041724835150645257,s3rg-oxol,-73.6049346,45.5216973
10042017304062129210,s4sg-t0v6,-73.6328259,45.5047421
10042017304062129210,s4sg-1y5v,-73.6328259,45.5047421
10045190706046933628,s2ck-hn5j,-79.36811829,43.65147781
10045229372483733651,w1dw-t79h,-79.3806076,43.66138458
10045690754659295744,s0ju-3aoc,-79.3982022,43.6496963
10045697819758989647,s3wl-sb6j,-73.5878688,45.5286752
10045697819758989647,s3wl-urxn,-73.5878688,45.5286752
10047700349554775201,s9pt-qzbj,-123.1362554,49.2875761
10048154572674353104,s7fi-rm83,-79.3908802,43.6536651
10048154572674353104,a8pg-9mgh,-79.3908802,43.6536651
10048154572674353104,s7fi-lbka,-79.3908802,43.6536651
1004847229884818886,s1in-s1jj,-79.4259682,43.6426627
10048588474757355333,s6qe-gbm6,-123.2536411,49.2648641
10050199336242552007,p2aq-ugct,-79.3824589,43.666628
10050199336242552007,p2aq-pomj,-79.3824589,43.666628
10050473784584538410,s5dp-fqji,-123.0982917,49.2644055
10051525193860591186,s7hd-gqtq,-73.5689216,45.5049126
10051685232148350729,s3ki-zmni,-123.2531154,49.2588217
10051790596979763292,s0wp-l5sf,-73.5698023,45.5474292
10051790596979763292,s9rf-bbvn,-73.5698023,45.5474292
10052025618996463763,s7fd-cbpy,-71.2238578,46.8158144
10052025618996463763,s7fd-ccbd,-71.2238578,46.8158144
10052025618996463763,s2wg-rwip,-71.219179,46.8134094
10053840222612391727,s9cz-npg6,-73.5684534,45.5112674
10054736502901660963,s7av-b5ks,-123.1130896,49.278890399999987
10055104588136895389,s1er-nw7i,-79.4161002,43.7695357
10055243359097092660,s0ku-ra99,-79.3817439,43.6486362
1005525969853100017,s8zk-fi4i,-123.1003629,49.2787052
10055265907612755206,s8aa-3luo,-79.3988635,43.6387842
10055505219713154400,y9jm-eh9y,-79.4081262,43.6503012
10055505219713154400,s7ov-b5d3,-79.4081262,43.6503012
10055766976639779307,s3ld-s0hy,-79.38925934,43.64823151
10056135789264426661,s7ci-i2w3,-71.2194604,46.810553
10057208452733894297,s6sh-shpa,-123.0524809,49.2814764
10058759155015565482,a3ec-o93w,-79.4257175,43.6425613
10060546956592761923,s8fo-sfvl,-79.4193295,43.6832007
10060632226508723853,s3jx-g996,-123.1417264,49.2870348
1006129705820391901,s5ka-rvda,-79.40423584,43.64393234
1006129705820391901,s8aa-xsgq,-79.3994776,43.6439201
1006129705820391901,s9ex-93ny,-79.3994776,43.6439201
1006129705820391901,s9ex-aw5i,-79.40423584,43.64393234
10061513843989916605,s3mu-g1hy,-123.1238855,49.287292000000008
10061897522680084478,s3zh-0gf9,-114.0002222,51.0796485
10062030189636977996,s6mj-427t,-123.100608,49.2490616
10062416027933719650,s4uk-3ema,-123.0838077,49.2631312
